covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
current_age,0.0056404988546713795,1.005656436419518,0.0007820586065587868,0.004107692152016578,0.007173305557326181,1.004116140282904,1.0071990953427592,0.0,7.212373609045357,5.498486011712932e-13,40.72603080109389
education_level_no_education,1.4609831194000464,4.310194882281516,0.06186391684860058,1.3397320704342086,1.5822341683658843,3.818020407763373,4.865814725733429,0.0,23.616078545034696,2.6349898727916496e-123,407.1993582540654
education_level_primary,1.234503433150319,3.436671559760272,0.061967078271200175,1.1130501915115922,1.355956674789046,3.043627898347889,3.880471530726891,0.0,19.921924150554425,2.6269963017979825e-88,290.9362581805952
education_level_secondary,0.6448870853901527,1.9057718276400712,0.065632301507913,0.5162501382121694,0.7735240325681361,1.6757320896063819,2.167390767028697,0.0,9.82575760065951,8.721575804184914e-23,73.27975735939194
residence_urban,-0.04111937547788539,0.9597145567254757,0.026360305042305448,-0.09278462398229365,0.010545873026522871,0.9113897706588,1.0106016767392418,0.0,-1.5598975585408903,0.11878409153542595,3.073586462450456
wealth_quintile_Poorer,-0.05054608626444626,0.9507101129850052,0.03181921603173566,-0.11291060370294764,0.011818431174055129,0.8932305080467412,1.0118885447704216,0.0,-1.5885396489351877,0.11216436279963726,3.1563137235664476
wealth_quintile_Poorest,-0.042863357519136475,0.9580422903988862,0.029932996171793885,-0.1015309519652278,0.015804236926954852,0.9034532152569476,1.0159297844014015,0.0,-1.4319768483292354,0.15215044717720974,2.716429520881092
wealth_quintile_Richer,-0.0869487004627188,0.9167241219501984,0.03608765151904188,-0.15767919772667305,-0.016218203198764547,0.854123742860906,0.9839126037528014,0.0,-2.4093754179830675,0.015979850766105134,5.967602254600536
wealth_quintile_Richest,-0.21259903802916524,0.8084802420665265,0.03495947535541142,-0.2811183506441872,-0.14407972541414327,0.7549389826779095,0.865818717551669,0.0,-6.081299443650169,1.1921241490382939e-09,29.643818366612994
