Variable,Full_Sample_OR,Full_Sample_CI,Exclude_Unknown_OR,Exclude_Unknown_CI
Intercept,4.245,3.89-4.64,4.809,4.36-5.3
C(education_level_cat)[T.primary],0.79,0.75-0.83,0.766,0.72-0.81
C(education_level_cat)[T.secondary],0.335,0.31-0.36,0.356,0.32-0.4
C(education_level_cat)[T.higher],0.16,0.14-0.18,0.175,0.15-0.21
C(wealth_quintile_cat)[T.Poorer],1.01,0.95-1.07,1.04,0.98-1.11
C(wealth_quintile_cat)[T.Middle],1.082,0.98-1.19,1.057,0.95-1.18
C(wealth_quintile_cat)[T.Richer],0.925,0.83-1.03,0.987,0.87-1.13
C(wealth_quintile_cat)[T.Richest],0.786,0.71-0.87,0.736,0.64-0.84
C(residence_cat)[T.urban],0.873,0.8-0.95,0.916,0.83-1.01
C(survey_year_cat)[T.2005],0.957,0.9-1.02,0.914,0.85-0.98
C(survey_year_cat)[T.2011],0.731,0.69-0.77,0.718,0.67-0.77
C(survey_year_cat)[T.2016],0.739,0.7-0.78,0.687,0.64-0.73
current_age,0.988,0.99-0.99,0.986,0.98-0.99
