Variable,Odds_Ratio,CI_Lower,CI_Upper,P_Value
C(education_level_cat)[T.primary],0.7288808500309543,0.6945341308404036,0.7649261137087673,9.643822539250195e-38
C(education_level_cat)[T.secondary],0.2828297673750348,0.2635013923114882,0.3035759189418475,6.916236452863649e-268
C(education_level_cat)[T.higher],0.11683799649829844,0.10241755970735525,0.13328883703871366,6.56120921750147e-224
C(wealth_quintile_cat)[T.Poorer],0.915318512999632,0.8638450470751745,0.9698591003983018,0.002732481557604922
C(wealth_quintile_cat)[T.Middle],0.7668735344275565,0.707021506238989,0.8317922617853487,1.532547337243726e-10
C(wealth_quintile_cat)[T.Richer],0.5204797620433301,0.4832832423205843,0.5605391600087419,9.261424461032352e-67
C(wealth_quintile_cat)[T.Richest],0.3585594802994623,0.3375796989677166,0.3808431055118494,9.667542575139485e-244
C(residence_cat)[T.urban],0.4798179672184661,0.4593727584737049,0.5011731266577476,1.397875434606755e-239
Intercept,2.3718624424614534,2.206482019940346,2.549638472064824,2.61608413934442e-121
current_age,0.9926279524370756,0.9904136624110523,0.9948471930009452,8.36129635249771e-11
