survey_year,wealth_quintile,n,prevalence,prevalence_se,prevalence_low,prevalence_upp
2000,Middle,437,70.71,0.02,66.44,74.98
2000,Poorer,1348,66.47,0.01,63.95,68.99
2000,Poorest,6852,72.62,0.01,71.57,73.68
2000,Richer,620,57.74,0.02,53.85,61.63
2000,Richest,1080,50.65,0.02,47.66,53.63
2005,Middle,515,62.91,0.02,58.74,67.09
2005,Poorer,1260,71.9,0.01,69.42,74.39
2005,Poorest,5996,69.88,0.01,68.72,71.04
2005,Richer,594,56.06,0.02,52.07,60.06
2005,Richest,989,48.13,0.02,45.01,51.25
2011,Middle,806,63.77,0.02,60.45,67.09
2011,Poorer,1626,67.28,0.01,65.0,69.56
2011,Poorest,6315,65.42,0.01,64.24,66.59
2011,Richer,865,51.91,0.02,48.58,55.24
2011,Richest,1327,41.3,0.01,38.65,43.95
2016,Middle,834,59.11,0.02,55.77,62.45
2016,Poorer,1800,62.72,0.01,60.49,64.96
2016,Poorest,5453,64.29,0.01,63.02,65.57
2016,Richer,945,49.74,0.02,46.55,52.93
2016,Richest,1585,38.49,0.01,36.09,40.88
